Index,Text,Clarity of Review,Justification of Scores,Depth of Analysis,Fairness and Objectivity,Constructiveness of Feedback,Engagement with Related Work,Accuracy in Understanding,Consistency of Evaluation,Identification of Novelty,Ethical Considerations and Responsibility
B1bgpzZAZ-R1,"This paper gives an elaboration on the Gated Attention Reader (GAR) adding gates based on answer elimination in multiple choice reading comprehension.   I found the formal presentation of the model reasonably clear the the empirical evaluation reasonably compelling. \n\nIn my opinion the main weakness of the paper is the focus on the RACE dataset.   This dataset has not attracted much attention and most work in reading comprehension has now moved to the SQUAD dataset for which there is an active leader board.   I realize that SQUAD is not explicitly multiple choice and that this is a challenge for an answer elimination architecture.   However, it seems that answer elimination might be applied to each choice of the initial position of a possible answer span.   In any case, competing with an active leader board would be much more compelling.",1,1,-1,1,1,1,1,1,1,1
B1bgpzZAZ-R2,"In this paper, a model is built for reading comprehension with multiple choices.  The model consists of three modules: encoder, interaction module and elimination module.  The major contributions are two folds: firstly, proposing the interesting option elimination problem for multi-step reading comprehension;  and secondly, proposing the elimination module where a eliminate gate is used to select different orthogonal factors from the document representations.  Intuitively, one answer option can be viewed as eliminated if the document representation vector has its factor along the option vector ignored. \n\nThe elimination module is interesting,  but the usefulness of \u201celimination\u201d is not well justified for two reasons.  First, the improvement of the proposed model over the previous state of the art is limited.  Second, the model is built upon GAR until the elimination module, then according to Table 1 it seems to indicate that the elimination module does not help significantly (0.4% improvement).  \n\nIn order to show the usefulness of the elimination module, the model should be exactly built on the GAR with an additional elimination module (i.e. after removing the elimination module, the performance should be similar to GAR but not something significantly worse with a 42.58% accuracy).  Then we can explicitly compare the performance between GAR and the GAR w/ elimination module to tell how much the new module helps. \n\nOther issues:\n\n1) Is there any difference to directly use $x$ and $h^z$ instead of $x^e$ and $x^r$ to compute $\\tilde{x}_i$?  Even though the authors find the orthogonal vectors, they\u2019re gated summed together very soon.  It would be better to show how much \u201celimination\u201d and \u201csubtraction\u201d effect the final performance, besides the effect of subtraction gate.\n\n2)  A figure showing the model architecture and the corresponding QA process will better help the readers understand the proposed model.\n\n 3) $c_i$ in page 5 is not defined.  What\u2019s the performance of only using $s_i$ for answer selection or replacing $x^L$ with $s_i$ in score function? \n\n4) It would be better to have the experiments trained with different $n$ to show how multi-hop effects the final performance, besides the case study in Figure 3 .\n\nMinor issues:\n\n1) In Eqn. (4), it would be better to use a vector as the input of softmax.\n\n 2) It would be easier for discussion if the authors could assign numbers to every equation.",1,1,1,1,1,-1,1,1,1,1
B1bgpzZAZ-R3,"This paper proposes a new reading comprehension model for multi-choice questions and the main motivation is that some options should be eliminated first to infer better passage/question representations. \n\nIt is a well-written paper,  however, I am not very convinced by its motivation, the proposed model and the experimental results.  \n\nFirst of all, the improvement is rather limited.  It is only 0.4 improvement overall on the RACE dataset;  although it outperforms GAR on 7 out of 13 categories;  but why is it worse on the other 6 categories?  I don\u2019t see any convincing explanations here. \n\nSecondly, in terms of the development of reading comprehension models, I don\u2019t see why we need to care about eliminating the irrelevant options.  It is hard to generalize to any other RC/QA tasks.  If the point is that the options can add useful information to induce better representations for passage/question, there should be some simple baselines in the middle that this paper should compare to.  The two baselines SAR and GAR both only induce a representation from paragraph/question, and finally compare to the representation of each option.  Maybe a simple baseline is to merge the question and all the options and see if a better document representation can be defined.  \n\nSome visualizations/motivational examples could be also useful to understand how some options are eliminated and how the document representation has been changed based on that.\n",1,1,1,-1,1,-1,1,1,1,1
B1CEaMbR--R1,"This paper presents some reviews on clustering methods with deep learning.  Based on the review taxonomy, the authors presents a mixed objective which aims for bretter clustering performance.  The proposed method is then tested on two image data sets.\n\n The claimed main contribution of the paper is the taxonomy.  There are no new things in such kind of reviews.  The taxonomy gives no scientific axioms.  Therefore the impact or actual contribution to the ICLR community is very limited.\n\n The proposed clustering method is problematic.  It is hard to set the paramter alpha.  The experimental results are also disappointing.  For example, the COIL20 accuracy is only 0.762, much worse than the state of the art.  Moreover, results on only two image data sets are not sufficient for convincing.",1,1,-1,-1,1,-1,1,1,-1,-1
B1CEaMbR--R2,"In this paper the authors give a nice review of clustering methods with deep learning and a systematic taxonomy for existing methods.  Finally, the authors propose a new method by using one unexplored combination of taxonomy features. \n\nThe paper is well-written and easy to follow . The proposed combination is straightforward,  but lack of novelty.  From table 1, it seems that the only differences between the proposed method and DEPICK is whether the method uses balanced assignment and pretraining.  I am not convinced that these changes will lead to a significant difference.  The performance of the proposed method and DEPICK are also similar in table 1.  \n\nIn addition, the experiments section is not comprehensive enough as well the author only tested on two datasets.  More datasets should be tested for evaluation.  In addition, It seems that nearly all the experiments results from comparison methods are borrowed from the original publications.  The authors should finish the experiments on comparison methods and fill the entries in Table 1.\n\n In summary, the proposed method is lack of novelty compare to existing methods.  The survey part is nice,  however extensive experiments should be conducted by running existing methods on different datasets and analyzing the pros and cons of the methods and their application scenarios.  Therefore, I think the paper cannot be accepted at this stage.\n",1,1,1,1,1,-1,1,1,1,1
B1CEaMbR--R3,"The paper is mostly a survey about clustering methods with neural networks.  \n\nSection 2 presents a taxonomy for the different neural network clustering methods.  A rich lists of the possible components of the neural network-based clustering methods are given, that include the different neural network architectures, feature to use for clustering, loss functions used and more.  In Section 3, a few methods from the literature are classified according to the proposed taxonomy.  Furthermore, in Section 4 a new method is proposed, that is to combine the best parts of the already existing models in the literature.  Unfortunately, the experiments is Section 5 reveal that the proposed method yields results that are at most comparable with the existing methods.  \n\nThe paper is written well and provides good insights (mostly taxonomy) on the existing methods for neural network-based clustering.  However, the paper lacks novel content.  The novel content of the paper sums up to the proposed method, that is composed of building blocks of existing models, and fails to impress in experimental results.  It could be that this paper belongs to another venue that is more appropriate for survey papers.   Also, it overall rather appears short.\n",1,1,-1,-1,1,-1,1,1,-1,1
B1CNpYg0--R1,"This paper describes a method for computing representations for out-of-vocabulary words, e.g. based on their spelling or dictionary definitions.  The main difference from previous approaches is that the model is that the embeddings are trained end-to-end for a specific task, rather than trying to produce generically useful embeddings.  The method leads to better performance than using no external resources,  but not as high performance as using Glove embeddings.   The paper is clearly written, and has useful ablation experiments.   However, I have a couple of questions/concerns:\n- Most of the gains seem to come from using the spelling of the word.   As the authors note, this kind of character level modelling has been used in many previous works.   \n- I would be slightly surprised if no previous work has used external resources for training word representations using an end-task loss,   but I don\u2019t know the area well enough to make specific suggestions   \n- I\u2019m a little skeptical about how often this method would really be useful in practice.   It seems to assume that you don\u2019t have much unlabelled text (or you\u2019d use Glove), but you probably need a large labelled dataset to learn how to read dictionary definitions well.   All the experiments use large tasks - it would be helpful to have an experiment showing an improvement over character-level modelling on a smaller task.  \n- The results on SQUAD seem pretty weak - 52-64%, compared to the SOTA of 81.   It seems like the proposed method is quite generic, so why not apply it to a stronger baseline?\n",1,1,1,1,1,1,1,1,1,1
B1CNpYg0--R2,"\nThis paper illustrates a method to compute produce word embeddings on the fly for rare words, using a pragmatic combination of existing ideas: \n\n* Backing off to a separate decoder for rare words a la Luong and Manning (https://arxiv.org/pdf/1604.00788.pdf, should be cited, though the idea might be older). \n\n* Using character-level models a la Ling et al. \n\n* Using dictionary embeddings a la Hill et al. \n\nNone of these ideas are new before but I haven\u2019t seen them combined in this way before.  This is a very practical idea, well-explained with a thorough set of experiments across three different tasks.  The paper is not surprising  but this seems like an effective technique for people who want to build effective systems with whatever data they\u2019ve got. \n",1,-1,-1,1,1,1,1,1,1,1
B1CNpYg0--R3,"This paper examines ways of producing word embeddings for rare words on demand.  The key real-world use case is for domain specific terms, but here the techniques are demonstrated on rarer words in standard data sets.  The strength of this paper is that it both gives a more systematic framework for and builds on existing ideas (character-based models, using dictionary definitions) to implement them as part of a model trained on the end task. \n\nThe contribution is clear  but not huge.  In general, for the scope of the paper, it seems like what is here could fairly easily have been made into a short paper for other conferences that have that category.  The basic method easily fits within 3 pages, and while the presentation of the experiments would need to be much briefer, this seems quite possible.  More things could have been considered.  Some appear in the paper, and there are some fairly natural other ones such as mining some use contexts of a word (such as just from Google snippets) rather than only using textual definitions from wordnet.  The contributions are showing that existing work using character-level models and definitions can be improved by optimizing representation learning in the context of the final task, and the idea of adding a learned linear transformation matrix inside the mean pooling model (p.3).  However, it is not made very clear why this matrix is needed or what the qualitative effect of its addition is. \n\nThe paper is clearly written.  \n\nA paper that should be referred to is the (short) paper of Dhingra et al. (2017): A Comparative Study of Word Embeddings\nfor Reading Comprehension https://arxiv.org/pdf/1703.00993.pdf .  While it in no way covers the same ground as this paper it is relevant as follows: This paper assumes a baseline that is also described in that paper of using a fixed vocab and mapping other words to UNK.  However, they point out that at least for matching tasks like QA and NLI that one can do better by assigning random vectors on the fly to unknown words.  That method could also be considered as a possible approach to compare against here. \n\nOther comments:\n - The paper suggests a couple of times including at the end of the 2nd Intro paragraph that you can't really expect spelling models to perform well in representing the semantics of arbitrary words (which are not morphological derivations, etc.).  While this argument has intuitive appeal, it seems to fly in the face of the fact that actually spelling models, including in this paper, seem to do surprisingly well at learning such arbitrary semantics. \n - p.2: You use pretrained GloVe vectors that you do not update.  My impression is that people have had mixed results, sometimes better, sometimes worse with updating pretrained vectors or not. Did you try it both ways?\n - fn. 1: Perhaps slightly exaggerates the point being made, since people usually also get good results with the GloVe or word2vec model trained on \""only\"" 6 billion words \u2013 2 orders of magnitude less data. \n - p.4. When no definition is available, is making e_d(w) a zero vector worse than or about the same as using a trained UNK vector? \n - Table 1: The baseline seems reasonable (near enough to the quality of the original Salesforce model from 2016 (66 F1)  but well below current best single models of around 76-78 F1.  The difference between D1 and D3 does well illustrate that better definition learning is done with backprop from end objective.  This model shows the rather strong performance of spelling models \u2013 at least on this task \u2013 which he again benefit from training in the context of the end objective.  \n - Fig 2: It's weird that only the +dict (left) model learns to connect \""In\"" and \""where\"".  The point made in the text between \""Where\"" and \""overseas\"" is perfectly reasonable, but it is a mystery why the base model on the right doesn't learn to associate the common words \""where\"" and \""in\"" both commonly expressing a location. \n - Table 2: These results are interestingly different.  Dict is much more useful than spelling here.  I guess that is because of the nature of NLI, but it isn't 100% clear why NLI benefits so much more than QA from definitional knowledge. \n - p.7: I was slightly surprised by how small vocabs (3k and 5k words) are said to be optimal for NLI (and similar remarks hold for SQuAD).  My impression is that most papers on NLI use much larger vocabs, no? \n - Fig 3: This could really be drawn considerably better: make the dots bigger and their colors more distinct. \n - Table 3: The differences here are quite small and perhaps the least compelling, but the same trends hold.\n",1,1,1,1,1,1,1,1,1,1
B1D6ty-A--R1,"After reading the rebuttal:\n\nThe authors addressed some of my theoretical questions.  I think the paper is borderline, leaning towards accept. \n\nI do want to note my other concerns:\n\nI suspect the theoretical results obtained here are somewhat restricted to the least-squares, autoencoder loss.   \n\nAnd note that the authors show that the proposed algorithm performs comparably to SGD, but not significantly better.  The classification result (Table 1) was obtained on the autoencoder features instead of training a classifier on the original inputs.  So it is not clear if the proposed algorithm is better for training the classifier, which may be of more interest. \n\n=============================================================\n\nThis paper presents an algorithm for training deep neural networks.  Instead of computing gradient of all layers and perform updates of all weight parameters at the same time, the authors propose to perform alternating optimization on weights of individual layers.  \n\nThe theoretical justification is obtained for single-hidden-layer auto-encoders.  Motivated by recent work by Hazan et al 2015, the authors developed the local-quasi-convexity of the objective w.r.t. the hidden layer weights for the generalized RELU activation.  As a result, the optimization problem over the single hidden layer can be optimized efficiently using the algorithm of Hazan et al 2015.  This itself can be a small, nice contribution. \n\nWhat concerns me is the extension to multiple layers.  Some questions are not clear from section 3.4:\n1.  Do we still have local-quasi-convexity for the weights of each layer, when there are multiple nonlinear layers above it?  A negative answer to this question will somewhat undermine the significance of the single-hidden-layer result. \n\n2. Practically, even if the authors can perform efficient optimization of weights in individual layers, when there are many layers, the alternating optimization nature of the algorithm can possibly result in overall slower convergence.  Also, since the proposed algorithm still uses gradient based optimizers for each layer, computing the gradient w.r.t. lower layers (closer to the inputs) are still done by backdrop, which has pretty much the same computational cost of the regular backdrop algorithm for updating all layers at the same time.  As a result, I am not sure if the proposed algorithm is on par with / faster than the regular SGD algorithm in actual runtime.  In the experiments, the authors plotted the training progress w.r.t. the minibatch iterations, I do not know if the minibatch iteration is a proxy for actual runtime (or number of floating point operations). \n\n3. In the experiments, the authors found the network optimized by the proposed algorithm generalize better than regular SGD.  Is this result consistent (across dataset, random initializations, etc), and can the authors elaborate the intuition behind?\n",1,1,1,1,1,1,1,1,1,1
B1D6ty-A--R2,"The authors propose an alternating minimization framework for training autoencoders and encoder-decoder networks.  The central idea is that a single encoder-decoder network can be cast as an alternating minimization problem.  Each minimization problem is not convex but is quasi-convex and hence one can use stochastic normalized gradient descent to minimize w.r.t. each variable.  This leads to the proposed algorithm called DANTE which simply minimizes w.r.t. each variable using stochastic normalized gradient algorithm to minimize w.r.t. each variable The authors start with this idea and introduce a generalized ReLU which is specified via a subgradient function only whose local quasi-convexity properties are established.  They then extend these idea to multi-layer encoder-decoder networks by performing greedy layer-wise training and using the proposed algorithms for training each layer.  The ideas are interesting,  but I have some concerns regarding this work. \n\nMajor comments:\n\n1. When dealing with a 2 layer network where there are 2 matrices W_1, W_2 to optimize over, It is not clear to me why optimizing over W_1 is a quasi-convex optimization problem?  The authors seem to use the idea that solving a GLM problem is a quasi-convex optimization problem.  However, optimizing w.r.t. W_1 is definitely not a GLM problem, since W_1 undergoes two non-linear transformations one via \\phi_1 and another via \\phi_2. \n\n2. Theorem 3.4, 3.5 establish  SLQC properties with generalized RELU activations.  This is an interesting result, and useful in its own right.  However, it is not clear to me why this result is even relevant here. The main application of this paper is autoencoders, which are functions from R^d -> R^d. However, GLMs are functions from R^d ---> R. So, it is not at all clear to me how Theorem 3.4, 3.5 and eventually 3.6 are useful for the autoencoder problem that the authors care about.  Yes they are useful if one was doing 2-layer neural networks for binary classification, but it is not clear to me how they are useful for autoencoder problems. \n\n3. Experimental results for classification are not convincing enough.  If, one looks at Table 1. SGD outperforms DANTE on ionosphere dataset and is competent with DANTE on MNIST and USPS.  \n\n4. The results on reconstruction do not show any benefits for DANTE over SGD (Figure 3).  I would recommend the authors to rerun these experiments but truncate the iterations early enough.  If DANTE has better reconstruction performance than SGD with fewer iterations then that would be a positive result.",1,1,1,1,1,-1,1,1,1,1
B1D6ty-A--R3,"In this paper an alternating optimization approach is explored for training Auto Encoders (AEs). \nThe authors treat each layer as a generalized linear model, and suggest to use the stochastic normalized GD of [Hazan et al., 2015] as the minimization algorithm in each (alternating) phase. \nThen they apply the suggested method to several single layer and multi layer AEs, comparing its performance to standard SGD.  The paper suggests an interesting approach and provides experimental evidence for its usefulness, especially for multi-layer AEs. \n\n\nSome comments on the theoretical part:\n-The theoretical part is partly misleading.  While it is true that every layer can be treated a generalized linear model, the SLQC property only applies for the last layer. \nRegarding the intermediate layers, we may indeed treat them as generalized linear models, but with non-monotone activations, and therefore the SLQC property does not apply. \nThe authors should mention this point. \n\n-Showing that generalized ReLU is SLQC with a polynomial dependence on the domain is interesting.  \n\n-It will be interesting if the authors can provide an analysis/relate to some theory related to alternating minimization of bi-quasi-convex objectives.  Concretely: Is there any known theory for such objectives?  What guarantees can we hope to achieve? \n\n\nThe extension to muti-layer AEs makes sense and seems to works quite well in practice .\n\nThe experimental part is satisfactory, and seems to be done in a decent manner.  \nIt will be useful if the authors could relate to the issue of parameter tuning for their algorithm. \nConcretely: How sensitive/robust is their approach compared to SGD with respect to hyperparameter misspecification.\n",1,1,1,1,1,1,1,1,1,1
B1DmUzWAW-R2,"The authors propose a model for sequence classification and sequential decision making.  The model interweaves attention layers, akin to those used by Vaswani et al, with temporal convolution.  The authors demonstrate superior performance on a variety of benchmark problems, including those for supervised classification and for sequential decision making. \n\nUnfortunately, I am not an expert in meta-learning, so I cannot comment on the difficulty of the tasks (e.g. Omniglot) used to evaluate the model or the appropriateness of the baselines the authors compare against (e.g. continuous control). \n\nThe experiment section definitely demonstrate the effort put into this work.  However, my primary concern is that the model seems somewhat lacking in novelty.  Namely, it interweaves the Vaswani style attention with with temporal convolutions (along with TRPO.  The authors claim that Vaswani model does not incoporate positional information, but from my understanding, it actually does so using positional encoding.  I also do not see why the Vaswani model cannot be lightly adapted for sequential decision making.  I think comparison to such a similar model would strengthen the novelty of this paper (e.g. convolution is a superior method of incorporating positional information). \n\nMy second concern is that the authors do not provide analysis and/or intuitions on why the proposed models outperform prior art in few-shot learning.  I think this information would be very useful to the community in terms of what to take away from this paper.  In retrospect, I wish the authors would have spent more time doing ablation studies than tackling more task domains. \n\nOverall, I am inclined to accept this paper on the basis of its experimental results.  However I am willing to adjust my review according to author response and the evaluation of the experiment section by other reviewers (who are hopefully more experienced in this domain). \n\nSome minor feedback/questions for the authors:\n- I would prefer mathematical equations as opposed to pseudocode formulation \n- In the experiment section for Omniglot, when the authors say \""1200 classes for training and 432 for testing\"", it sounds like the authors are performing zero-shot learning.  How does this particular model generalize to classes not seen during training?",1,1,-1,1,1,1,1,1,-1,1
B1DmUzWAW-R3,"The paper proposes a general neural network structure that includes TC (temporal convolution) blocks and Attention blocks for meta-learning, specifically, for episodic task learning.  Through intensive experiments on various settings including few-shot image classification on Omniglot and Mini-ImageNet, and four reinforcement learning applications, the authors show that the proposed structure can achieve highly comparable performance wrt the corresponding specially designed state-of-the-art methods.  The experiment results seem solid and the proposed structure is with simple design and highly generalizable.  The concern is that the contribution is quite incremental from the theoretical side  though it involves large amount of experimental efforts, which could be impactful.  Please see the major comment below.\n\nOne major comment:\n- Despite that the work is more application oriented, the paper would have been stronger and more impactful if it includes more work on the theoretical side.  \nSpecifically, for two folds: \n(1) in general, some more work in investigating the task space would be nice.  The paper assumes the tasks are \u201crelated\u201d or \u201csimilar\u201d and thus transferrable; also particularly in Section 2, the authors define that the tasks follow the same distribution.  But what exactly should the distribution be like to be learnable and how to quantify such \u201crelated\u201d or \u201csimilar\u201d relationship across tasks?  \n(2) in particular, for each of the experiments that the authors conduct, it would be nice to investigate some more on when the proposed TC + Attention network would work better and thus should be used by the community; some questions to answer include: when should we prefer the proposed combination of TC + attention blocks over the other methods?  The result from the paper seems to answer with \u201cin all cases\u201d but then that always brings the issue of \u201coverfitting\u201d or parameter tuning issue. \n\nMore detailed comments:\n- On Page 1, \u201cthe optimal strategy for an arbitrary range of tasks\u201d lacks definition of \u201crange\u201d; also, in the setting in this paper, these tasks should share \u201csimilarity\u201d or follow the same \u201cdistribution\u201d and thus such \u201carbitrariness\u201d is actually constrained. \n\n- On Page 2, the notation and formulation for the meta-learning could be more mathematically rigid; the distribution over tasks is not defined.  It is understandable that the authors try to make the paradigm very generalizable; but the ambiguity or the abstraction over the \u201ctask distribution\u201d is too large to be meaningful.  One suggestion would be to split into two sections, one for supervised learning and one for reinforcement learning; but both share the same design paradigm, which is generalizable. \n\n- For results in Table 1 and Table 2, how are the confidence intervals computed?  Is it over multiple runs or within the same run?  It would be nice to make clear; in addition, I personally prefer either reporting raw standard deviations or conduct hypothesis testing with specified tests.  The confidence intervals may not be clear without elaboration; such is also concerning in the caption for Table 3 about claiming \u201cnot statistically-significantly different\u201d because no significance test is reported.  \n\n- At last, some more details in implementation would be nice (package availability, run time analysis); I suppose the package or the source code would be publicly available afterwards?",1,1,1,1,1,-1,1,1,1,1
B1e5ef-C--R1,"The main insight in this paper is that LSTMs can be viewed as producing a sort of sketch of tensor representations of n-grams.   This allows the authors to design a matrix that maps bag-of-n-gram embeddings into the LSTM embeddings.   They then show that the result matrix satisfies a restricted isometry condition.    Combining these results allows them to argue that the classification performance based on LSTM embeddings is comparable to that based on bag-of-n-gram embeddings.  \n\nI didn't check all the proof details, but based on my knowledge of compressed sensing theory, the results seem plausible.   I think the paper is a nice contribution to the theoretical analysis of LSTM word embeddings.",1,-1,-1,1,1,-1,1,1,-1,1
B1KJJf-R--R2,"This paper tackles the problem of doing program synthesis when given a problem description and a small number of input-output examples.  The approach is to use a sequence-to-tree model along with an adaptation of beam search for generating tree-structured outputs.   In addition, the paper assembles a template-based synthetic dataset of task descriptions and programs.    Results show that a Seq2Tree model outperforms a Seq2Seq model, that adding search to Seq2Tree improves results,  and that search without any training performs worse, although the experiments assume that only a fixed number of programs are explored at test time regardless of the wall time that it takes a technique.  \n\nStrengths:\n\n- Reasonable approach, quality is good \n\n- The DSL is richer than that of previous related work like Balog et al. (2016). \n\n- Results show a reasonable improvement in using a Seq2Tree model over a Seq2Seq model, which is interesting. \n\nWeaknesses:\n\n- There are now several papers on using a trained neural network to guide search, and this approach doesn't add too much on top of previous work.  Using beam search on tree outputs is a bit of a minor contribution. \n\n- The baselines are just minor variants of the proposed method.  It would be stronger to compare against a range of different approaches to the problem, particularly given that the paper is working with a new dataset. \n\n- Data is synthetic, and it's hard to get a sense for how difficult the presented problem is, as there are just four example problems given. \n\nQuestions:\n\n- Why not compare against Seq2Seq + Search? \n\n- How about comparing wall time against a traditional program synthesis technique (i.e., no machine learning), ignoring the descriptions.  I would guess that an efficiently-implemented enumerative search technique could quickly explore all programs of depth 3, which makes me skeptical that Figure 4 is a fair representation of how well a non neural network-based search could do. \n\n- Are there plans to release the dataset?  Could you provide a large sample of the data at an anonymized link?  I'd re-evaluate my rating after looking at the data in more detail.\n",1,1,1,1,1,1,1,1,-1,-1
B1KJJf-R--R3,This paper introduces a technique for program synthesis involving a restricted grammar of problems that is beam-searched using an attentional encoder-decoder network.  This work to my knowledge is the first to use a DSL closer to a full language. \n\nThe paper is very clear and easy to follow.  One way it could be improved is if it were compared with another system.  The results showing that guided search is a potent combination whose contribution would be made only stronger if compared with existing work.,1,-1,-1,1,1,-1,-1,1,-1,1
B1l8BtlCb-R1,"This work proposes non-autoregressive decoder for the encoder-decoder framework in which the decision of generating a word does not depends on the prior decision of generated words.  The key idea is to model the fertility of each word so that copies for source words are fed as input to the encoder part, not the generated target words as inputs.   To achieve the goal, authors investigated various techniques: For inference, sample fertility space for generating multiple possible translations.   For training, apply knowledge distilation for better training followed by fine tuning by reinforce.   Experiments for English/German and English/Romanian show comparable translation qualities with speedup by non-autoregressive decoding. \n\nThe motivation is clear and proposed methods are very sound.  Experiments are carried out very carefully. \n\nI have only minor concerns to this paper:\n\n- The experiments are designed to achieve comparable BLEU with improved latency.  I'd like to know whether any BLUE improvement might be possible under similar latency, for instance, by increasing the model size given that inference is already  fast enough. \n\n- It'd also like to see other language pairs with distorted word alignment, e.g., Chinese/English, to further strengthen this work, though  it might have little impact given that attention already capture sort of alignment. \n\n- What is the impact of the external word aligner quality?  For instance, it would be possible to introduce a noise in the word alignment results or use smaller data to train a model for word aligner.  \n\n- The positional attention is rather unclear and it would be better to revise it.  Note that equation 4 is simply mentioning attention computation, not the proposed positional attention.",1,1,1,-1,-1,-1,-1,-1,-1,-1
B1l8BtlCb-R2,"This paper describes an approach to decode non-autoregressively for neural machine translation (and other tasks that can be solved via seq2seq models).  The advantage is the possibility of more parallel decoding which can result in a significant speed-up (up to a factor of 16 in the experiments described).  The disadvantage is that it is more complicated than a standard beam search as auto-regressive teacher models are needed for training and the results do not reach (yet) the same BLEU scores as standard beam search.  \n\nOverall, this is an interesting paper.  It would have been good to see a speed-accuracy curve which plots decoding speed for different sized models versus the achieved BLUE score on one of the standard benchmarks (like WMT14 en-fr or en-de) to understand better the pros and cons of the proposed approach and to be able to compare models at the same speed or the same BLEU scores.   While the Ro->En results are goodG this particular language pair has not been used much by others; it would have been more interesting to stay with a single well-used language pair and benchmark and analyze why WMT14 en->de and de->en are not improving more.  Finally it would have been good to address total computation in the comparison as well -- it seems while total decoding time is smaller total computation for NAT + NPD is actually higher depending on the choice of s.\n",1,1,1,-1,-1,-1,-1,-1,-1,-1
B1l8BtlCb-R3,"This paper can be seen as an extension of the paper \""attention is all you need\"" that will be published at nips in a few weeks (at the time I write this review).  \n\nThe goal here is to make the target sentence generation non auto regressive.  The authors propose to introduce a set of latent variables to represent the fertility of each source words.  The number of target words can be then derived and they're all predicted in parallel. \n\nThe idea is interesting and trendy.  However, the paper is not really stand alone.  A lot of tricks are stacked to reduce the performance degradation.  However, they're sometimes to briefly described to be understood by most readers.  \n\nThe training process looks highly elaborate with a lot of hyper parameters.  Maybe you could comment on this.  \n\nFor instance, the use fertility supervision during training could be better motivated and explained.  Your choice of IBM 2 is wired since it doesn't include fertility.  Why not IBM 4, for instance ?  How you use IBM model for supervision.  This a simple example, but a lot of things in this paper is too briefly described and their impact not really evaluated.",1,1,1,-1,-1,-1,-1,-1,-1,-1
B1Lc-Gb0Z-R1,"The paper studies learning in deep neural networks with hard activation functions, e.g. step functions like sign(x).  Of course, backpropagation is difficult to adapt to such networks, so prior work has considered different approaches.  Arguably the most popular is straight-through estimation (Hinton 2012, Bengio et al. 2013), in which the activation functions are simply treated as identity functions during backpropagation.  More recently, a new type of straight-through estimation, saturated STE (Hubara et al., 2016) uses 1[|z|<1] as the derivative of sign(z). \n\nThe paper generalizes saturated STE by recognizing that other discrete targets of each activation layer can be chosen.  Deciding on these targets is formulated as a combinatorial optimization problem.  Once the targets are chosen, updating the weights of each layer to minimize the loss on those targets is a convex optimization.  The targets are heuristically updated through the layers, starting out the output using the proposed feasibility target propagation.  At each layer, the targets can be chosen using a variety of search algorithms such as beam search. \n\nExperiments show that FTP often outperforms saturated STE on CIFAR and ImageNet with sign and quantized activation functions, reaching levels of performance closer to the full-precision activation networks. \n\nThis paper's ideas are very interesting, exploring an alternative training method to backpropagation that supports hard-threshold activation functions.  The experimental results are encouraging,  though I have a few questions below that prevent me for now from rating the paper higher. \n\nComments and questions:\n\n1) How computationally expensive is FTP?  The experiments using ResNet indicate it is not prohibitively expensive, but I am eager for more details. \n\n2) Does (Hubara et al., 2016) actually compare their proposed saturated STE with the orignal STE on any tasks?  I do not see a comparison.  If that is so, should this paper also compare with STE?  How do we know if generalizing saturated STE is more worthwhile than generalizing STE? \n\n3) It took me a while to understand the authors' subtle comparison with target propagation, where they say \""Our framework can be viewed as an instance of target propagation that uses combinatorial optimization to set discrete targets, whereas previous approaches employed continuous optimization. \"" It seems that the difference is greater than explicitly stated, that prior target propagation used continuous optimization to set *continuous targets*. (One could imagine using continuous optimization to set discrete targets such as a convex relaxation of a constraint satisfaction problem.)  Focusing on discrete targets gains the benefits of quantized networks.  If I am understanding the novelty correctly, it would strengthen the paper to make this difference clear. \n\n4) On a related note, if feasible target propagation generalizes saturated straight through estimation, is there a connection between (continuous) target propagation and the original type of straight through estimation? \n\n5) In Table 1, the significance of the last two columns is unclear.  It seems that ReLU and Saturated ReLU are included to show the performance of networks with full-precision activation functions (which is good).  I am unclear though on why they are compared against each other (bolding one or the other) and if there is some correspondence between those two columns and the other pairs, i.e., is ReLU some kind of analog of SSTE and Saturated ReLU corresponds to FTP-SH somehow?",1,1,1,-1,1,1,1,1,1,-1
B1Lc-Gb0Z-R2,"This paper examines the problem of optimizing deep networks of hard-threshold units.  This is a significant topic with implications for quantization for computational efficiency, as well as for exploring the space of learning algorithms for deep networks.  While none of the contributions are especially novel,  the analysis is clear and well-organized, and the authors do a nice job in connecting their analysis to other work.",1,1,-1,1,-1,-1,-1,-1,-1,-1
